No. of straight lines,Median height,Median width,Median radius,Median rectangularity ratio,Median circularity ratio,Median rectangular area,Median circular area
6394,52.0,64.0,45.0,0.396031746031746,0.3959239094698912,3328.0,6361.725123519332

7404,52.0,59.0,42.0,0.4061920520272798,0.40576271186440677,3068.0,5541.769440932396

3408,48.0,58.5,37.0,0.4093822843822844,0.4090909090909091,2808.0,4300.840342764427

2862,48.0,50.0,69.0,0.40625,0.40622577519379843,2400.0,14957.122623741005

3089,57.0,59.0,62.0,0.38558671114364185,0.38453922315308453,3363.0,12076.282160399165

3045,64.0,64.0,62.5,0.3816287878787879,0.3800677876045523,4096.0,12271.846303085129

4204,45.0,44.0,65.5,0.4348958333333333,0.4337576486013986,1980.0,13478.21788206361

4225,43.5,44.0,70.0,0.4223707299011559,0.4218487394957983,1914.0,15393.804002589986

5636,41.0,41.0,58.5,0.4669354838709677,0.4653919401862127,1681.0,10751.31545874767

5491,39.0,41.0,50.5,0.47864868062822674,0.4781783681214421,1599.0,8011.84666481737

4505,53.5,45.0,61.0,0.3940153452685422,0.3939130434782609,2407.5,11689.86626400762

5808,50.0,48.5,61.0,0.4162255351642783,0.41603349786478844,2425.0,11689.86626400762

4035,40.0,41.0,62.0,0.4499962079077763,0.44771968854282534,1640.0,12076.282160399165

4113,40.0,41.5,53.0,0.4524114774114774,0.45,1660.0,8824.73376393373

4082,41.0,41.0,61.0,0.41838580827067673,0.41785714285714287,1681.0,11689.86626400762

4078,40.0,40.0,57.5,0.43303303303303303,0.4318611392140804,1600.0,10386.890710931255

1878,65.0,60.0,65.5,0.4,0.3998152709359606,3900.0,13478.21788206361

2081,77.0,81.0,65.0,0.31710624766180323,0.3168061017095176,6237.0,13273.228961416875

1977,79.0,87.5,70.5,0.2911127521573728,0.2895898454000169,6912.5,15614.500886504668

1666,77.0,87.0,62.0,0.2780409250479673,0.27794840294840295,6699.0,12076.282160399165

2057,78.0,90.0,72.0,0.3012987012987013,0.30096890533443466,7020.0,16286.016316209487

1885,76.0,80.0,69.0,0.3465710964742348,0.3456599774608617,6080.0,14957.122623741005

2852,73.0,77.0,62.0,0.33371559633027525,0.3329206000975048,5621.0,12076.282160399165

2655,74.0,82.5,74.0,0.32149413036076446,0.31931676313698787,6105.0,17203.36137105771

3111,60.0,59.0,55.5,0.3378260869565217,0.3374071955250445,3540.0,9676.89077121996

2902,63.5,64.0,58.0,0.3438452294024583,0.3427272727272727,4064.0,10568.317686676064

